Framework,Metric,N,Mean,Std,Median,Min,Max
CPAC-Default,CJV,72,0.5537,0.0687,0.5395,0.4454,0.8114
CPAC-Default,EFC,72,0.2767,0.0141,0.2759,0.2520,0.3127
CPAC-Default,WM2MAX,72,0.7762,0.0343,0.7806,0.6368,0.8466
CPAC-Default,MeanFD,72,0.0851,0.0429,0.0787,0.0254,0.2245
CPAC-Default,DVARS,49,1.2859,0.1273,1.3027,0.9640,1.5181
CPAC-Default,tSNR,49,77.1003,41.4194,67.7878,42.1077,312.4316
CPAC-LLM,CJV,71,0.5486,0.0693,0.5352,0.4438,0.8623
CPAC-LLM,EFC,72,0.2767,0.0141,0.2759,0.2520,0.3127
CPAC-LLM,WM2MAX,71,0.7776,0.0336,0.7851,0.6407,0.8472
CPAC-LLM,MeanFD,71,0.0919,0.0436,0.0829,0.0330,0.2488
CPAC-LLM,DVARS,51,1.2796,0.1099,1.2742,0.9696,1.4859
CPAC-LLM,tSNR,51,97.7180,152.7804,67.4800,35.9950,1117.5624
fMRIPrep,CJV,72,0.6207,0.1343,0.5589,0.5038,1.0397
fMRIPrep,EFC,72,0.2748,0.0139,0.2735,0.2489,0.3098
fMRIPrep,WM2MAX,72,0.8181,0.0150,0.8188,0.7855,0.8643
fMRIPrep,MeanFD,72,0.0830,0.0369,0.0734,0.0388,0.2176
fMRIPrep,DVARS,72,1.2023,0.0910,1.1983,1.0260,1.5099
fMRIPrep,tSNR,72,78.4970,9.2455,78.1606,57.1184,96.2022
DeepPrep,CJV,72,0.5012,0.0181,0.4962,0.4750,0.5943
DeepPrep,EFC,72,0.2164,0.0118,0.2156,0.1961,0.2416
DeepPrep,WM2MAX,72,0.8912,0.0167,0.8941,0.7955,0.9123
DeepPrep,MeanFD,72,0.0824,0.0364,0.0706,0.0402,0.2158
DeepPrep,DVARS,72,1.2669,0.1140,1.2698,0.9837,1.5931
DeepPrep,tSNR,72,77.1349,9.3006,76.7015,56.0501,93.7212
